regionname,countryname,project result,curr_project_cost,lendinginstr
Eastern and Southern Africa,Kingdom of Eswatini,Success,7000000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Eswatini,Success,5000000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Eswatini,Success,2800000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Eswatini,Success,4200000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Eswatini,Success,2800000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,26000000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of the Sudan,Success,75000000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of the Sudan,Fail,35000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Fail,100000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,82200000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,35000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,20000000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of the Sudan,Success,9000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,10600000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Fail,23000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,19700000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Fail,30000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,20000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,38000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,22000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,30000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,12000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,5500000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,85000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,16000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,15400000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,60000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,50000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,80000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,29000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,13000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,18000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of the Sudan,Success,6000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,35000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,32000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,65000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,65000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,40000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,41000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,22000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,25000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,16000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,20000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,17000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,4000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,29000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,7000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of the Sudan,Success,23000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,20000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,24000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,4000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of the Sudan,Success,10700000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,7000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,42000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,11300000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,5000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,24000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,8500000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,31000000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,32500000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,15500000,Specific Investment Loan
Eastern and Southern Africa,Republic of the Sudan,Success,39000000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Fail,15000000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,7600000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,12100000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,5000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,9800000,Structural Adjustment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,4000000,Structural Adjustment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,17200000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,7900000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,5000000,Financial Intermediary Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,2800000,
Eastern and Southern Africa,Republic of South Africa,Fail,150000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Fail,250000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Fail,100000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Fail,50000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Fail,150000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,26100000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,5500000,Technical Assistance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,19000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Fail,60000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,70000000,Sector Adjustment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,12500000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,12700000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,13400000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,30000000,Sector Adjustment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,4300000,Technical Assistance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Fail,15000000,Financial Intermediary Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,28500000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,22600000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10600000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,18000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,13500000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,23000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10200000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,6000000,Technical Assistance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,12000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,5500000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10500000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,8000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,3000000,Technical Assistance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,6000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,8000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,7000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,5000000,Financial Intermediary Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,5200000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,8000000,Emergency Recovery Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,8000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,13000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,9600000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,3300000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,600000,Technical Assistance Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,2300000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,6200000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Fail,5000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,300000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,36000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,300000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,46500000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,11200000,Technical Assistance Loan
Western and Central Africa,Republic of Sierra Leone,Success,50000000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Fail,10000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,50800000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,24300000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Fail,15000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,69000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Success,92700000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Success,5300000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Success,28900000,Sector Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,20000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Success,5000000,Technical Assistance Loan
Western and Central Africa,Republic of Sierra Leone,Success,10000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Sierra Leone,Success,8500000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,12000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,2500000,Technical Assistance Loan
Western and Central Africa,Republic of Sierra Leone,Success,8200000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,7300000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,2300000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,10000000,Financial Intermediary Loan
Western and Central Africa,Republic of Sierra Leone,Success,4300000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,7200000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,3000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,3900000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,3800000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,37500000,
Eastern and Southern Africa,Republic of Seychelles,Success,4500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Seychelles,Success,6200000,Specific Investment Loan
Eastern and Southern Africa,Republic of Seychelles,Success,1800000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,12500000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,4700000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,26500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,81000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,7100000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,397000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,4400000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,47100000,Adaptable Program Loan
Western and Central Africa,Republic of Senegal,Success,90000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,75000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,40000000,Sector Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,5500000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Fail,20000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,40000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,47800000,Sector Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,45000000,Sector Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,35000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,18500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Fail,8300000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,290100000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,33600000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,65000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,46000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,45000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,40800000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,80000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,24700000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,20000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,20200000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,22000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,26100000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,20000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,12000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,4900000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,24000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,11000000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,6000000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,7500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,21500000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,16100000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,15000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,7700000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,9500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,19500000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,5300000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,19300000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,60000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,9000000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,9300000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,38000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,3300000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,11000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,2500000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,7000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,22000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,6300000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,11000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,6000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,13600000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,4200000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,6600000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,15000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,6300000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,4200000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,2000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,15000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,1000000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,14000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,600000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,3000000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,3000000,Emergency Recovery Loan
Western and Central Africa,Republic of Senegal,Success,8000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,3000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,6300000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,4500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,8200000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,8000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Senegal,Success,9600000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,2000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,3700000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,1400000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,2100000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,9500000,Financial Intermediary Loan
Western and Central Africa,Republic of Senegal,Success,9000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,4000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,1900000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,4200000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,20200000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,14700000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,38900000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,20300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,31100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,22100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,4400000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,90000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,33800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,16700000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,36500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,26900000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,26000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,148900000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,26100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,40300000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,32000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,7400000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,72200000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,14100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,19900000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,11000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,15600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,10800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,9000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of Rwanda,Success,12700000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,4800000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,18000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,9000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,13000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,7000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of Rwanda,Success,16300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,5000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,25900000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,7500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,21000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,5200000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of Rwanda,Success,8800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,4000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of Rwanda,Success,14000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,1800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,9500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,8000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,6300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,3800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,3000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,9300000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,25000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,25000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,50000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,25000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,118200000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,89100000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,80000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,13700000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,27000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,25000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,40000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,60000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,100000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,10200000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,20000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,200000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,105900000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,70000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,20600000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,27700000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,45000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,60000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,15000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,80000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,128400000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,50000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,120000000,Sector Adjustment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,65000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,100900000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,37900000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,23300000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,218000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,128200000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,50000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,38300000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,94500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,500000000,Sector Adjustment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,225000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,85200000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,96800000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,106000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,100000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,10400000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,104100000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,36800000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,71000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,72000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,5000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,25000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,55000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,306700000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,461800000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,150000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,125000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,68800000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,200000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,270000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,452000000,Sector Adjustment Loan
